question,correct_answer,student_answer,label,processed_correct_answer,processed_student_answer
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,Metaphors describe symbolic relationships.,1,metaphor figure speech one thing said another,metaphors describe symbolic relationships
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor uses 'like' or 'as'.,0,metaphor figure speech one thing said another,metaphor uses
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The lungs exchange oxygen and carbon dioxide.,1,lungs help breathing exchanging oxygen carbon dioxide,lungs exchange oxygen carbon dioxide
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The primary function of lungs is to facilitate gas exchange.,1,lungs help breathing exchanging oxygen carbon dioxide,primary function lungs facilitate gas exchange
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The lungs pump blood through the body.,0,lungs help breathing exchanging oxygen carbon dioxide,lungs pump blood body
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Water changes to vapor during evaporation.,1,process water changing vapor called evaporation,water changes vapor evaporation
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Evaporation occurs when water turns to vapor.,1,process water changing vapor called evaporation,evaporation occurs water turns vapor
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Condensation occurs when water turns to vapor.,0,process water changing vapor called evaporation,condensation occurs water turns vapor
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 0 degrees Celsius.,1,freezing point water 0 degrees celsius,water freezes 0 degrees celsius
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,At 0°C water reaches its freezing point.,1,freezing point water 0 degrees celsius,water reaches freezing point
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 100 degrees Celsius.,0,freezing point water 0 degrees celsius,water freezes 100 degrees celsius
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,Light travels at 300000 km/s.,1,speed light approximately 300000 kilometers per second,light travels 300000
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,The speed of light is roughly 300000 kilometers per second.,1,speed light approximately 300000 kilometers per second,speed light roughly 300000 kilometers per second
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,The speed of light is 150000 kilometers per second.,0,speed light approximately 300000 kilometers per second,speed light 150000 kilometers per second
What is the smallest prime number?,The smallest prime number is 2.,Two is the smallest prime number.,1,smallest prime number 2,two smallest prime number
What is the smallest prime number?,The smallest prime number is 2.,2 is the smallest prime.,1,smallest prime number 2,2 smallest prime
What is the smallest prime number?,The smallest prime number is 2.,One is the smallest prime number.,0,smallest prime number 2,one smallest prime number
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The Milky Way is the name of our galaxy.,1,galaxy called milky way,milky way name galaxy
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The galaxy we live in is the Milky Way.,1,galaxy called milky way,galaxy live milky way
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The Andromeda galaxy is where we live.,0,galaxy called milky way,andromeda galaxy live
What is the capital of Canada?,The capital of Canada is Ottawa.,Ottawa is the capital city of Canada.,1,capital canada ottawa,ottawa capital city canada
What is the capital of Canada?,The capital of Canada is Ottawa.,Canada's capital city is Ottawa.,1,capital canada ottawa,canada capital city ottawa
What is the capital of Canada?,The capital of Canada is Ottawa.,Toronto is the capital of Canada.,0,capital canada ottawa,toronto capital canada
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,Alexander Graham Bell is the inventor of the telephone.,1,telephone invented alexander graham bell,alexander graham bell inventor telephone
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,The inventor of the telephone is Alexander Graham Bell.,1,telephone invented alexander graham bell,inventor telephone alexander graham bell
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,Thomas Edison invented the telephone.,0,telephone invented alexander graham bell,thomas edison invented telephone
What is the largest continent?,The largest continent is Asia.,Asia is the largest continent on Earth.,1,largest continent asia,asia largest continent earth
What is the largest continent?,The largest continent is Asia.,The largest continent is Asia.,1,largest continent asia,largest continent asia
What is the largest continent?,The largest continent is Asia.,Africa is the largest continent.,0,largest continent asia,africa largest continent
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,HCl is short for Hydrochloric Acid.,1,hcl stands hydrochloric acid,hcl short hydrochloric acid
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,Hydrochloric Acid is the full form of HCl.,1,hcl stands hydrochloric acid,hydrochloric acid full form hcl
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,HCl is Hydrogen Chloride.,0,hcl stands hydrochloric acid,hcl hydrogen chloride
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The theorem states that a² + b² equals c².,1,pythagorean theorem states a² b² c²,theorem states a² b² equals c²
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,Pythagoras proved that a² + b² = c².,1,pythagorean theorem states a² b² c²,pythagoras proved a² b² c²
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The theorem states a² * b² = c².,0,pythagorean theorem states a² b² c²,theorem states a² b² c²
What is the capital of Japan?,The capital of Japan is Tokyo.,Tokyo is Japan's capital.,1,capital japan tokyo,tokyo japan capital
What is the capital of Japan?,The capital of Japan is Tokyo.,The capital city of Japan is Tokyo.,1,capital japan tokyo,capital city japan tokyo
What is the capital of Japan?,The capital of Japan is Tokyo.,Kyoto is the capital of Japan.,0,capital japan tokyo,kyoto capital japan
What is the main ingredient in bread?,The main ingredient in bread is flour.,Bread is primarily made with flour.,1,main ingredient bread flour,bread primarily made flour
What is the main ingredient in bread?,The main ingredient in bread is flour.,Flour is the key ingredient for bread.,1,main ingredient bread flour,flour key ingredient bread
What is the main ingredient in bread?,The main ingredient in bread is flour.,Bread is mainly made of sugar.,0,main ingredient bread flour,bread mainly made sugar
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon has straight sides and is a closed shape.,1,polygon closed figure straight sides,polygon straight sides closed shape
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon is a multi-sided shape with straight edges.,1,polygon closed figure straight sides,polygon shape straight edges
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon has curved sides and is an open shape.,0,polygon closed figure straight sides,polygon curved sides open shape
What is the capital of Russia?,The capital of Russia is Moscow.,Moscow is Russia's capital city.,1,capital russia moscow,moscow russia capital city
What is the capital of Russia?,The capital of Russia is Moscow.,The capital city of Russia is Moscow.,1,capital russia moscow,capital city russia moscow
What is the capital of Russia?,The capital of Russia is Moscow.,St. Petersburg is the capital of Russia.,0,capital russia moscow,petersburg capital russia
What is a habitat?,A habitat is the natural home of an organism.,A habitat is the living place of an organism.,1,habitat natural home organism,habitat living place organism
What is a habitat?,A habitat is the natural home of an organism.,The natural environment of an organism is called its habitat.,1,habitat natural home organism,natural environment organism called habitat
What is a habitat?,A habitat is the natural home of an organism.,A habitat is where humans artificially grow plants.,0,habitat natural home organism,habitat humans artificially grow plants
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,The Sahara Desert is the largest in the world.,1,largest desert world sahara desert,sahara desert largest world
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,Sahara is the largest desert.,1,largest desert world sahara desert,sahara largest desert
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,The Gobi Desert is the largest.,0,largest desert world sahara desert,gobi desert largest
What is the boiling point of water in Fahrenheit?,The boiling point of water is 212 degrees Fahrenheit.,Water boils at 212°F.,1,boiling point water 212 degrees fahrenheit,water boils
What is the boiling point of water in Fahrenheit?,The boiling point of water is 212 degrees Fahrenheit.,At 212°F water reaches its boiling point.,1,boiling point water 212 degrees fahrenheit,water reaches boiling point
What is the boiling point of water in Fahrenheit?,The boiling point of water is 212 degrees Fahrenheit.,Water boils at 100°F.,0,boiling point water 212 degrees fahrenheit,water boils
Who painted the Sistine Chapel ceiling?,The Sistine Chapel ceiling was painted by Michelangelo.,Michelangelo painted the Sistine Chapel ceiling.,1,sistine chapel ceiling painted michelangelo,michelangelo painted sistine chapel ceiling
Who painted the Sistine Chapel ceiling?,The Sistine Chapel ceiling was painted by Michelangelo.,Michelangelo is the artist behind the Sistine Chapel ceiling.,1,sistine chapel ceiling painted michelangelo,michelangelo artist behind sistine chapel ceiling
Who painted the Sistine Chapel ceiling?,The Sistine Chapel ceiling was painted by Michelangelo.,Leonardo da Vinci painted the Sistine Chapel ceiling.,0,sistine chapel ceiling painted michelangelo,leonardo da vinci painted sistine chapel ceiling
What is the third planet from the Sun?,The third planet from the Sun is Earth.,Earth is the third planet from the Sun.,1,third planet sun earth,earth third planet sun
What is the third planet from the Sun?,The third planet from the Sun is Earth.,The planet Earth is the third from the Sun.,1,third planet sun earth,planet earth third sun
What is the third planet from the Sun?,The third planet from the Sun is Earth.,Mars is the third planet from the Sun.,0,third planet sun earth,mars third planet sun
What is the freezing point of water in Fahrenheit?,The freezing point of water is 32 degrees Fahrenheit.,Water freezes at 32°F.,1,freezing point water 32 degrees fahrenheit,water freezes
What is the freezing point of water in Fahrenheit?,The freezing point of water is 32 degrees Fahrenheit.,At 32°F water freezes.,1,freezing point water 32 degrees fahrenheit,water freezes
What is the freezing point of water in Fahrenheit?,The freezing point of water is 32 degrees Fahrenheit.,Water freezes at 0°F.,0,freezing point water 32 degrees fahrenheit,water freezes
What is the function of the kidneys?,The kidneys filter waste from the blood.,Kidneys remove waste and toxins from the blood.,1,kidneys filter waste blood,kidneys remove waste toxins blood
What is the function of the kidneys?,The kidneys filter waste from the blood.,The kidneys filter and clean the blood.,1,kidneys filter waste blood,kidneys filter clean blood
What is the function of the kidneys?,The kidneys filter waste from the blood.,The kidneys pump blood through the body.,0,kidneys filter waste blood,kidneys pump blood body
What is the smallest ocean?,The smallest ocean is the Arctic Ocean.,The Arctic Ocean is the smallest.,1,smallest ocean arctic ocean,arctic ocean smallest
What is the smallest ocean?,The smallest ocean is the Arctic Ocean.,The Arctic is the smallest ocean.,1,smallest ocean arctic ocean,arctic smallest ocean
What is the smallest ocean?,The smallest ocean is the Arctic Ocean.,The Pacific Ocean is the smallest.,0,smallest ocean arctic ocean,pacific ocean smallest
Who wrote '1984'?,'1984' was written by George Orwell.,George Orwell wrote '1984'.,1,written george orwell,george orwell wrote
Who wrote '1984'?,'1984' was written by George Orwell.,The author of '1984' is George Orwell.,1,written george orwell,author george orwell
Who wrote '1984'?,'1984' was written by George Orwell.,Charles Dickens wrote '1984'.,0,written george orwell,charles dickens wrote
What is the sum of angles in a triangle?,The sum of angles in a triangle is 180 degrees.,A triangle's angles total 180 degrees.,1,sum angles triangle 180 degrees,triangle angles total 180 degrees
What is the sum of angles in a triangle?,The sum of angles in a triangle is 180 degrees.,The total of a triangle's angles is 180 degrees.,1,sum angles triangle 180 degrees,total triangle angles 180 degrees
What is the sum of angles in a triangle?,The sum of angles in a triangle is 180 degrees.,A triangle's angles add up to 360 degrees.,0,sum angles triangle 180 degrees,triangle angles add 360 degrees
What is the chemical symbol for Iron?,The chemical symbol for Iron is Fe.,Iron is represented by the symbol Fe.,1,chemical symbol iron fe,iron represented symbol fe
What is the chemical symbol for Iron?,The chemical symbol for Iron is Fe.,The symbol Fe represents Iron.,1,chemical symbol iron fe,symbol fe represents iron
What is the chemical symbol for Iron?,The chemical symbol for Iron is Fe.,Iron's symbol is Ir.,0,chemical symbol iron fe,iron symbol ir
What is the formula for the area of a triangle?,The formula for the area of a triangle is 1/2 x base x height.,The area of a triangle is calculated as 1/2 base times height.,1,formula area triangle x base x height,area triangle calculated base times height
What is the formula for the area of a triangle?,The formula for the area of a triangle is 1/2 x base x height.,To find a triangle's area multiply 1/2 by its base and height.,1,formula area triangle x base x height,find triangle area multiply base height
What is the formula for the area of a triangle?,The formula for the area of a triangle is 1/2 x base x height.,The area of a triangle is base times height.,0,formula area triangle x base x height,area triangle base times height
What is the main organ of the circulatory system?,The heart is the main organ of the circulatory system.,The heart is the organ that circulates blood.,1,heart main organ circulatory system,heart organ circulates blood
What is the main organ of the circulatory system?,The heart is the main organ of the circulatory system.,The primary organ of circulation is the heart.,1,heart main organ circulatory system,primary organ circulation heart
What is the main organ of the circulatory system?,The heart is the main organ of the circulatory system.,The brain is the organ responsible for circulation.,0,heart main organ circulatory system,brain organ responsible circulation
What is the chemical formula for salt?,The chemical formula for salt is NaCl.,Salt is represented as NaCl.,1,chemical formula salt nacl,salt represented nacl
What is the chemical formula for salt?,The chemical formula for salt is NaCl.,The formula for salt is NaCl.,1,chemical formula salt nacl,formula salt nacl
What is the chemical formula for salt?,The chemical formula for salt is NaCl.,The formula for salt is NaH.,0,chemical formula salt nacl,formula salt nah
What is the primary source of energy for the Earth?,The primary source of energy for the Earth is the Sun.,The Sun provides the Earth's primary energy.,1,primary source energy earth sun,sun provides earth primary energy
What is the primary source of energy for the Earth?,The primary source of energy for the Earth is the Sun.,Energy on Earth mainly comes from the Sun.,1,primary source energy earth sun,energy earth mainly comes sun
What is the primary source of energy for the Earth?,The primary source of energy for the Earth is the Sun.,Earth's primary energy source is coal.,0,primary source energy earth sun,earth primary energy source coal
Who discovered penicillin?,Penicillin was discovered by Alexander Fleming.,Alexander Fleming discovered penicillin.,1,penicillin discovered alexander fleming,alexander fleming discovered penicillin
Who discovered penicillin?,Penicillin was discovered by Alexander Fleming.,The discovery of penicillin is credited to Alexander Fleming.,1,penicillin discovered alexander fleming,discovery penicillin credited alexander fleming
Who discovered penicillin?,Penicillin was discovered by Alexander Fleming.,Louis Pasteur discovered penicillin.,0,penicillin discovered alexander fleming,louis pasteur discovered penicillin
What is the capital of Brazil?,The capital of Brazil is Brasília.,Brasília is the capital of Brazil.,1,capital brazil brasília,brasília capital brazil
What is the capital of Brazil?,The capital of Brazil is Brasília.,The capital city of Brazil is Brasília.,1,capital brazil brasília,capital city brazil brasília
What is the capital of Brazil?,The capital of Brazil is Brasília.,Rio de Janeiro is the capital of Brazil.,0,capital brazil brasília,rio de janeiro capital brazil
What is the largest organ in the human body?,The largest organ in the human body is the skin.,Skin is the largest organ in the human body.,1,largest organ human body skin,skin largest organ human body
What is the largest organ in the human body?,The largest organ in the human body is the skin.,The human body's largest organ is the skin.,1,largest organ human body skin,human body largest organ skin
What is the largest organ in the human body?,The largest organ in the human body is the skin.,The heart is the largest organ in the human body.,0,largest organ human body skin,heart largest organ human body
What does the Richter scale measure?,The Richter scale measures the magnitude of earthquakes.,Earthquake magnitude is measured by the Richter scale.,1,richter scale measures magnitude earthquakes,earthquake magnitude measured richter scale
What does the Richter scale measure?,The Richter scale measures the magnitude of earthquakes.,The Richter scale quantifies earthquake strength.,1,richter scale measures magnitude earthquakes,richter scale quantifies earthquake strength
What does the Richter scale measure?,The Richter scale measures the magnitude of earthquakes.,The Richter scale measures wind speed.,0,richter scale measures magnitude earthquakes,richter scale measures wind speed
What is the freezing point of ethanol?,The freezing point of ethanol is -114.1 degrees Celsius.,Ethanol freezes at -114.1°C.,1,freezing point ethanol degrees celsius,ethanol freezes
What is the freezing point of ethanol?,The freezing point of ethanol is -114.1 degrees Celsius.,At -114.1°C ethanol freezes.,1,freezing point ethanol degrees celsius,ethanol freezes
What is the freezing point of ethanol?,The freezing point of ethanol is -114.1 degrees Celsius.,Ethanol freezes at 0°C.,0,freezing point ethanol degrees celsius,ethanol freezes
What is the formula for the area of a circle?,The formula for the area of a circle is πr².,The area of a circle is calculated as πr².,1,formula area circle πr²,area circle calculated πr²
What is the formula for the area of a circle?,The formula for the area of a circle is πr².,To find a circle's area use π times the radius squared.,1,formula area circle πr²,find circle area use π times radius squared
What is the formula for the area of a circle?,The formula for the area of a circle is πr².,The area of a circle is 2πr.,0,formula area circle πr²,area circle 2πr
Who wrote 'Pride and Prejudice'?,'Pride and Prejudice' was written by Jane Austen.,Jane Austen wrote 'Pride and Prejudice'.,1,prejudice written jane austen,jane austen wrote prejudice
Who wrote 'Pride and Prejudice'?,'Pride and Prejudice' was written by Jane Austen.,The author of 'Pride and Prejudice' is Jane Austen.,1,prejudice written jane austen,author prejudice jane austen
Who wrote 'Pride and Prejudice'?,'Pride and Prejudice' was written by Jane Austen.,Charlotte Brontë wrote 'Pride and Prejudice'.,0,prejudice written jane austen,charlotte brontë wrote prejudice
What is the function of white blood cells?,White blood cells help the body fight infections.,White blood cells fight infections in the body.,1,white blood cells help body fight infections,white blood cells fight infections body
What is the function of white blood cells?,White blood cells help the body fight infections.,The immune system relies on white blood cells to combat pathogens.,1,white blood cells help body fight infections,immune system relies white blood cells combat pathogens
What is the function of white blood cells?,White blood cells help the body fight infections.,White blood cells carry oxygen throughout the body.,0,white blood cells help body fight infections,white blood cells carry oxygen throughout body
What is the capital of South Africa?,South Africa has three capitals: Pretoria Cape Town and Bloemfontein.,Pretoria Cape Town and Bloemfontein are the capitals of South Africa.,1,south africa three capitals pretoria cape town bloemfontein,pretoria cape town bloemfontein capitals south africa
What is the capital of South Africa?,South Africa has three capitals: Pretoria Cape Town and Bloemfontein.,South Africa's capitals include Cape Town Pretoria and Bloemfontein.,1,south africa three capitals pretoria cape town bloemfontein,south africa capitals include cape town pretoria bloemfontein
What is the capital of South Africa?,South Africa has three capitals: Pretoria Cape Town and Bloemfontein.,Johannesburg is the capital of South Africa.,0,south africa three capitals pretoria cape town bloemfontein,johannesburg capital south africa
What is the process of converting solid to gas?,The process of converting a solid directly to a gas is called sublimation.,Sublimation is when solids turn directly into gases.,1,process converting solid directly gas called sublimation,sublimation solids turn directly gases
What is the process of converting solid to gas?,The process of converting a solid directly to a gas is called sublimation.,The direct conversion of solids to gases is sublimation.,1,process converting solid directly gas called sublimation,direct conversion solids gases sublimation
What is the process of converting solid to gas?,The process of converting a solid directly to a gas is called sublimation.,Condensation is the process where solids turn into gases.,0,process converting solid directly gas called sublimation,condensation process solids turn gases
What is the chemical symbol for Helium?,The chemical symbol for Helium is He.,Helium is represented by the symbol He.,1,chemical symbol helium,helium represented symbol
What is the chemical symbol for Helium?,The chemical symbol for Helium is He.,The symbol for Helium is He.,1,chemical symbol helium,symbol helium
What is the chemical symbol for Helium?,The chemical symbol for Helium is He.,The symbol for Helium is H.,0,chemical symbol helium,symbol helium h
What is the primary function of the skin?,The skin protects the body and regulates temperature.,The skin serves as a protective barrier for the body.,1,skin protects body regulates temperature,skin serves protective barrier body
What is the primary function of the skin?,The skin protects the body and regulates temperature.,The skin protects the body and helps maintain temperature.,1,skin protects body regulates temperature,skin protects body helps maintain temperature
What is the primary function of the skin?,The skin protects the body and regulates temperature.,The skin pumps blood through the body.,0,skin protects body regulates temperature,skin pumps blood body
Who discovered the theory of relativity?,The theory of relativity was discovered by Albert Einstein.,Albert Einstein is known for the theory of relativity.,1,theory relativity discovered albert einstein,albert einstein known theory relativity
Who discovered the theory of relativity?,The theory of relativity was discovered by Albert Einstein.,The discovery of relativity is attributed to Albert Einstein.,1,theory relativity discovered albert einstein,discovery relativity attributed albert einstein
Who discovered the theory of relativity?,The theory of relativity was discovered by Albert Einstein.,Isaac Newton discovered the theory of relativity.,0,theory relativity discovered albert einstein,isaac newton discovered theory relativity
What is the capital of Argentina?,The capital of Argentina is Buenos Aires.,Buenos Aires is the capital of Argentina.,1,capital argentina buenos aires,buenos aires capital argentina
What is the capital of Argentina?,The capital of Argentina is Buenos Aires.,The capital city of Argentina is Buenos Aires.,1,capital argentina buenos aires,capital city argentina buenos aires
What is the capital of Argentina?,The capital of Argentina is Buenos Aires.,Cordoba is the capital of Argentina.,0,capital argentina buenos aires,cordoba capital argentina
What is the function of the respiratory system?,The respiratory system is responsible for gas exchange.,The respiratory system exchanges oxygen and carbon dioxide.,1,respiratory system responsible gas exchange,respiratory system exchanges oxygen carbon dioxide
What is the function of the respiratory system?,The respiratory system is responsible for gas exchange.,Oxygen and carbon dioxide are exchanged by the respiratory system.,1,respiratory system responsible gas exchange,oxygen carbon dioxide exchanged respiratory system
What is the function of the respiratory system?,The respiratory system is responsible for gas exchange.,The respiratory system circulates blood.,0,respiratory system responsible gas exchange,respiratory system circulates blood
What is the process of liquid turning into solid called?,The process of liquid turning into a solid is called freezing.,Freezing is when a liquid becomes a solid.,1,process liquid turning solid called freezing,freezing liquid becomes solid
What is the process of liquid turning into solid called?,The process of liquid turning into a solid is called freezing.,Liquids become solids through freezing.,1,process liquid turning solid called freezing,liquids become solids freezing
What is the process of liquid turning into solid called?,The process of liquid turning into a solid is called freezing.,Condensation is the process where liquids turn into solids.,0,process liquid turning solid called freezing,condensation process liquids turn solids
What is the powerhouse of the cell?,The powerhouse of the cell is the mitochondria.,Mitochondria are known as the powerhouse of the cell.,1,powerhouse cell mitochondria,mitochondria known powerhouse cell
What is the powerhouse of the cell?,The powerhouse of the cell is the mitochondria.,The mitochondria produce energy for the cell.,1,powerhouse cell mitochondria,mitochondria produce energy cell
What is the powerhouse of the cell?,The powerhouse of the cell is the mitochondria.,The nucleus is the powerhouse of the cell.,0,powerhouse cell mitochondria,nucleus powerhouse cell
What is the capital of Mexico?,The capital of Mexico is Mexico City.,Mexico City is the capital of Mexico.,1,capital mexico mexico city,mexico city capital mexico
What is the capital of Mexico?,The capital of Mexico is Mexico City.,The capital city of Mexico is Mexico City.,1,capital mexico mexico city,capital city mexico mexico city
What is the capital of Mexico?,The capital of Mexico is Mexico City.,Guadalajara is the capital of Mexico.,0,capital mexico mexico city,guadalajara capital mexico
Who invented the light bulb?,The light bulb was invented by Thomas Edison.,Thomas Edison is the inventor of the light bulb.,1,light bulb invented thomas edison,thomas edison inventor light bulb
Who invented the light bulb?,The light bulb was invented by Thomas Edison.,The invention of the light bulb is credited to Thomas Edison.,1,light bulb invented thomas edison,invention light bulb credited thomas edison
Who invented the light bulb?,The light bulb was invented by Thomas Edison.,Alexander Graham Bell invented the light bulb.,0,light bulb invented thomas edison,alexander graham bell invented light bulb
What is the chemical symbol for Aluminum?,The chemical symbol for Aluminum is Al.,Aluminum is represented by the symbol Al.,1,chemical symbol aluminum al,aluminum represented symbol al
What is the chemical symbol for Aluminum?,The chemical symbol for Aluminum is Al.,The symbol for Aluminum is Al.,1,chemical symbol aluminum al,symbol aluminum al
What is the chemical symbol for Aluminum?,The chemical symbol for Aluminum is Al.,The symbol for Aluminum is Am.,0,chemical symbol aluminum al,symbol aluminum
What is the freezing point of mercury?,The freezing point of mercury is -38.83 degrees Celsius.,Mercury freezes at -38.83°C.,1,freezing point mercury degrees celsius,mercury freezes
What is the freezing point of mercury?,The freezing point of mercury is -38.83 degrees Celsius.,At -38.83°C mercury freezes.,1,freezing point mercury degrees celsius,mercury freezes
What is the freezing point of mercury?,The freezing point of mercury is -38.83 degrees Celsius.,Mercury freezes at 0°C.,0,freezing point mercury degrees celsius,mercury freezes
What is the capital of Egypt?,The capital of Egypt is Cairo.,Cairo is the capital of Egypt.,1,capital egypt cairo,cairo capital egypt
What is the capital of Egypt?,The capital of Egypt is Cairo.,The capital city of Egypt is Cairo.,1,capital egypt cairo,capital city egypt cairo
What is the capital of Egypt?,The capital of Egypt is Cairo.,Alexandria is the capital of Egypt.,0,capital egypt cairo,alexandria capital egypt
What is a chloroplast?,A chloroplast is an organelle in plant cells responsible for photosynthesis.,Chloroplasts are responsible for photosynthesis in plants.,1,chloroplast organelle plant cells responsible photosynthesis,chloroplasts responsible photosynthesis plants
What is a chloroplast?,A chloroplast is an organelle in plant cells responsible for photosynthesis.,The chloroplast is the site of photosynthesis in plants.,1,chloroplast organelle plant cells responsible photosynthesis,chloroplast site photosynthesis plants
What is a chloroplast?,A chloroplast is an organelle in plant cells responsible for photosynthesis.,Chloroplasts transport water in plants.,0,chloroplast organelle plant cells responsible photosynthesis,chloroplasts transport water plants
What does the term biodiversity mean?,Biodiversity refers to the variety of life on Earth.,The term biodiversity means the diversity of life forms.,1,biodiversity refers variety life earth,term biodiversity means diversity life forms
What does the term biodiversity mean?,Biodiversity refers to the variety of life on Earth.,Biodiversity encompasses the variety of species and ecosystems.,1,biodiversity refers variety life earth,biodiversity encompasses variety species ecosystems
What does the term biodiversity mean?,Biodiversity refers to the variety of life on Earth.,Biodiversity refers only to plant species.,0,biodiversity refers variety life earth,biodiversity refers plant species
What is the function of red blood cells?,Red blood cells carry oxygen to the body's tissues.,Red blood cells transport oxygen throughout the body.,1,red blood cells carry oxygen body tissues,red blood cells transport oxygen throughout body
What is the function of red blood cells?,Red blood cells carry oxygen to the body's tissues.,The main role of red blood cells is to deliver oxygen.,1,red blood cells carry oxygen body tissues,main role red blood cells deliver oxygen
What is the function of red blood cells?,Red blood cells carry oxygen to the body's tissues.,Red blood cells fight infections.,0,red blood cells carry oxygen body tissues,red blood cells fight infections
What is the capital of Spain?,The capital of Spain is Madrid.,Madrid is Spain's capital city.,1,capital spain madrid,madrid spain capital city
What is the capital of Spain?,The capital of Spain is Madrid.,Spain's capital is Madrid.,1,capital spain madrid,spain capital madrid
What is the capital of Spain?,The capital of Spain is Madrid.,Barcelona is the capital of Spain.,0,capital spain madrid,barcelona capital spain
What is the powerhouse of the cell?,The mitochondria are the powerhouse of the cell.,Mitochondria are known as the cell's powerhouse.,1,mitochondria powerhouse cell,mitochondria known cell powerhouse
What is the powerhouse of the cell?,The mitochondria are the powerhouse of the cell.,The cell's powerhouse is the mitochondria.,1,mitochondria powerhouse cell,cell powerhouse mitochondria
What is the powerhouse of the cell?,The mitochondria are the powerhouse of the cell.,The nucleus is the powerhouse of the cell.,0,mitochondria powerhouse cell,nucleus powerhouse cell
Who developed the theory of relativity?,The theory of relativity was developed by Albert Einstein.,Albert Einstein developed the theory of relativity.,1,theory relativity developed albert einstein,albert einstein developed theory relativity
Who developed the theory of relativity?,The theory of relativity was developed by Albert Einstein.,Einstein is known for the theory of relativity.,1,theory relativity developed albert einstein,einstein known theory relativity
Who developed the theory of relativity?,The theory of relativity was developed by Albert Einstein.,Isaac Newton developed the theory of relativity.,0,theory relativity developed albert einstein,isaac newton developed theory relativity
What is the largest bone in the human body?,The largest bone in the human body is the femur.,The femur is the largest bone in humans.,1,largest bone human body femur,femur largest bone humans
What is the largest bone in the human body?,The largest bone in the human body is the femur.,In humans the femur is the largest bone.,1,largest bone human body femur,humans femur largest bone
What is the largest bone in the human body?,The largest bone in the human body is the femur.,The humerus is the largest bone in the human body.,0,largest bone human body femur,humerus largest bone human body
What is the chemical symbol for Silver?,The chemical symbol for Silver is Ag.,Silver is represented by the symbol Ag.,1,chemical symbol silver ag,silver represented symbol ag
What is the chemical symbol for Silver?,The chemical symbol for Silver is Ag.,Ag is the chemical symbol for Silver.,1,chemical symbol silver ag,ag chemical symbol silver
What is the chemical symbol for Silver?,The chemical symbol for Silver is Ag.,Silver's symbol is Au.,0,chemical symbol silver ag,silver symbol au
What is the main gas found in the air we breathe?,The main gas found in air is Nitrogen.,Nitrogen is the primary gas in the atmosphere.,1,main gas found air nitrogen,nitrogen primary gas atmosphere
What is the main gas found in the air we breathe?,The main gas found in air is Nitrogen.,Air consists mostly of Nitrogen.,1,main gas found air nitrogen,air consists mostly nitrogen
What is the main gas found in the air we breathe?,The main gas found in air is Nitrogen.,Oxygen is the main gas in the atmosphere.,0,main gas found air nitrogen,oxygen main gas atmosphere
What is the smallest planet in the Solar System?,The smallest planet in the Solar System is Mercury.,Mercury is the smallest planet in our Solar System.,1,smallest planet solar system mercury,mercury smallest planet solar system
What is the smallest planet in the Solar System?,The smallest planet in the Solar System is Mercury.,The smallest planet is Mercury.,1,smallest planet solar system mercury,smallest planet mercury
What is the smallest planet in the Solar System?,The smallest planet in the Solar System is Mercury.,Pluto is the smallest planet in the Solar System.,0,smallest planet solar system mercury,pluto smallest planet solar system
Who painted 'The Starry Night'?,'The Starry Night' was painted by Vincent van Gogh.,Vincent van Gogh painted 'The Starry Night'.,1,starry night painted vincent van gogh,vincent van gogh painted starry night
